mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0.098,0.96,-1.578,1.984,0.014,0.015,5017.0,2770.0,1.0
-0.287,0.969,-2.102,1.522,0.013,0.016,5442.0,3144.0,1.0
-0.22,1.016,-2.144,1.615,0.017,0.016,3693.0,2842.0,1.0
0.038,0.976,-1.746,1.887,0.015,0.015,4392.0,3033.0,1.0
0.08,0.966,-1.717,1.876,0.013,0.015,5509.0,3022.0,1.0
0.035,0.988,-1.761,1.901,0.016,0.015,3805.0,2990.0,1.0
0.039,0.981,-1.927,1.761,0.012,0.015,6468.0,3386.0,1.0
-0.029,0.969,-1.845,1.791,0.014,0.015,4983.0,3237.0,1.0
-0.034,0.975,-1.897,1.805,0.015,0.015,4450.0,3162.0,1.0
0.096,0.991,-1.703,1.998,0.015,0.015,4231.0,3028.0,1.0
